gap,clip,before,after,cuts
0.0,4UEAYxGC1gE.mp4,0.0,0.0,0
0.0,523LwKMfF2I.mp4,79.48,79.43,858
0.0,6gmCC4OkFx8.mp4,0.0,0.0,12
0.0,9-ochJEQpb0.mp4,0.0,0.0,5
0.0,AjbrmfjJRk0.mp4,79.25,0.0,0
0.0,Ben_8tA6Eyg.mp4,11.5,0.0,17
0.0,CIHun1gx7zU.mp4,58.96,37.46,382
0.0,GSTB2MVHtMk.mp4,0.0,0.0,16
0.0,M5HYGDDf6wU.mp4,1.21,0.0,0
0.0,MFC0eGtaF5M.mp4,21.2,0.0,13
0.0,PFSDW2g3D8o.mp4,78.03,0.0,15
0.0,QtXx3Qubmys.mp4,0.33,0.0,8
0.0,TXeDgXiytM0.mp4,79.3,79.3,1093
0.0,UoHK74aS9sY.mp4,0.0,0.0,5
0.0,Y76O5wY7EcM.mp4,79.4,79.36,968
0.0,Z0NIxY7svlM.mp4,23.8,0.0,32
0.0,_3-eqclZgQc.mp4,17.87,0.0,31
0.0,ezm9i2nGYwQ.mp4,79.26,79.26,1107
0.0,ila-hAUXR5U.mp4,0.0,0.0,0
0.0,kMJVNerOtRI.mp4,0.0,0.0,0
0.0,xDdAHEUQ2zA.mp4,48.43,5.76,278
0.0,xbawhCyMsRI.mp4,74.1,0.0,200
0.0,yqkfZuyQPc4.mp4,0.0,0.0,27
0.0,zlmWXyIFYnM.mp4,79.36,75.77,1056
0.1,4UEAYxGC1gE.mp4,0.0,0.0,0
0.1,523LwKMfF2I.mp4,79.48,78.53,274
0.1,6gmCC4OkFx8.mp4,0.0,0.0,12
0.1,9-ochJEQpb0.mp4,0.0,0.0,5
0.1,AjbrmfjJRk0.mp4,79.25,0.0,0
0.1,Ben_8tA6Eyg.mp4,11.5,0.0,14
0.1,CIHun1gx7zU.mp4,58.96,8.64,141
0.1,GSTB2MVHtMk.mp4,0.0,0.0,11
0.1,M5HYGDDf6wU.mp4,1.21,0.0,0
0.1,MFC0eGtaF5M.mp4,21.2,0.0,10
0.1,PFSDW2g3D8o.mp4,78.03,0.0,8
0.1,QtXx3Qubmys.mp4,0.33,0.0,8
0.1,TXeDgXiytM0.mp4,79.3,16.58,297
0.1,UoHK74aS9sY.mp4,0.0,0.0,5
