clip,w,h,before_s,cpu_s,gpu_s,cpu_ms,gpu_ms
4UEAYxGC1gE.mp4,854,480,0.0,0.0,0.0,41.06,7.635
523LwKMfF2I.mp4,1280,720,79.48,79.43,79.43,99.43,10.061
6gmCC4OkFx8.mp4,1280,720,0.0,0.0,0.0,128.18,10.548
9-ochJEQpb0.mp4,1280,720,0.0,0.0,0.0,86.5,8.65
AjbrmfjJRk0.mp4,640,360,79.25,0.0,0.0,35.02,6.197
Ben_8tA6Eyg.mp4,1280,720,11.5,0.0,0.0,127.73,8.05
CIHun1gx7zU.mp4,1280,720,58.96,38.599999999999994,37.459999999999994,89.76,7.061
GSTB2MVHtMk.mp4,960,720,0.0,0.0,0.0,71.35,9.097
M5HYGDDf6wU.mp4,1280,720,1.21,0.0,0.0,123.48,8.379
MFC0eGtaF5M.mp4,1280,720,21.2,0.0,0.0,110.09,7.833
PFSDW2g3D8o.mp4,1280,720,78.03,0.0,0.0,128.47,9.116
QtXx3Qubmys.mp4,1280,720,0.33,0.0,0.0,128.7,10.11
TXeDgXiytM0.mp4,1280,720,79.3,79.3,79.3,77.03,9.363
UoHK74aS9sY.mp4,1280,720,0.0,0.0,0.0,120.42,9.297
Y76O5wY7EcM.mp4,1280,720,79.4,79.36,79.36,83.2,9.21
Z0NIxY7svlM.mp4,1280,720,23.799999999999997,0.0,0.0,115.79,10.66
_3-eqclZgQc.mp4,1280,720,17.869999999999997,0.0,0.0,129.45,7.646
ezm9i2nGYwQ.mp4,1280,720,79.26,79.26,79.26,82.4,10.379
ila-hAUXR5U.mp4,640,480,0.0,0.0,0.0,29.75,8.109
kMJVNerOtRI.mp4,1280,720,0.0,0.0,0.0,80.45,7.506
xDdAHEUQ2zA.mp4,1280,720,48.43,28.35,5.76,97.16,10.071
xbawhCyMsRI.mp4,1280,720,74.1,0.0,0.0,110.31,7.075
yqkfZuyQPc4.mp4,1280,720,0.0,0.0,0.0,101.53,8.86
zlmWXyIFYnM.mp4,1280,720,79.36,76.45,75.77000000000001,78.35,8.321
