clip,group,before,after,removed_pct,mask,armed_pct,cuts,warped,gain_mean,frames,rules,ch_LUM,ch_RGB,ch_RED,ch_RB
523LwKMfF2I,실패,79.48,79.43,0.1,0.9971,99.8,858,117,0.642,2400,플래시;화면전환;5초지속,39.7,39.78,0.0,0.0
CIHun1gx7zU,실패,58.96,38.6,34.5,0.8361,93.8,382,623,0.614,1199,플래시;화면전환;5초지속,26.23,26.66,0.0,6.07
TXeDgXiytM0,실패,79.3,79.3,0.0,0.9962,99.6,1094,213,0.544,2400,플래시;화면전환;5초지속,39.65,39.65,0.0,0.0
Y76O5wY7EcM,실패,79.4,79.36,0.1,0.9971,99.7,967,258,0.597,2400,플래시;화면전환;5초지속,39.68,39.72,0.0,0.0
ezm9i2nGYwQ,실패,79.26,79.26,0.0,0.9967,99.8,1106,279,0.539,2400,플래시;화면전환;5초지속,39.63,39.63,0.0,0.0
xDdAHEUQ2zA,실패,48.43,28.35,41.5,0.8993,95.5,278,14,0.436,2400,플래시;화면전환;5초지속,20.55,27.88,0.0,0.0
zlmWXyIFYnM,실패,79.36,76.45,3.7,0.9956,99.8,1057,70,0.559,2400,플래시;화면전환;5초지속,39.68,39.68,0.0,0.0
AjbrmfjJRk0,성공,79.25,0.0,100.0,0.9967,99.7,0,196,0.999,1199,플래시;적색;화면전환;5초지속,39.74,0.0,39.51,0.0
Ben_8tA6Eyg,성공,11.5,0.0,100.0,0.4002,94.7,17,5,0.985,1200,플래시,5.53,5.97,0.0,0.0
M5HYGDDf6wU,성공,1.21,0.0,100.0,0.5702,92.5,0,0,0.991,106,플래시;화면전환,0.58,0.63,0.0,0.0
MFC0eGtaF5M,성공,21.2,0.0,100.0,0.381,58.5,13,79,0.989,1250,플래시;화면전환;5초지속,10.6,10.6,0.0,0.0
PFSDW2g3D8o,성공,78.03,0.0,100.0,0.9954,99.7,15,220,0.987,1200,플래시;화면전환;5초지속,39.2,38.83,0.0,0.0
QtXx3Qubmys,성공,0.33,0.0,100.0,0.3984,97.7,8,92,0.992,1198,패턴;화면전환,0.0,0.33,0.0,0.0
Z0NIxY7svlM,성공,23.8,0.0,100.0,0.6778,77.1,31,233,0.973,1200,,9.2,14.6,0.0,0.0
_3-eqclZgQc,성공,17.87,0.0,100.0,0.674,98.9,31,76,0.987,2400,플래시;화면전환;5초지속,4.42,13.02,0.0,0.43
xbawhCyMsRI,성공,74.1,0.0,100.0,0.9944,99.5,201,556,0.832,1200,플래시;화면전환;5초지속,34.9,39.2,0.0,0.0
