file,tier,failed,path
CIHun1gx7zU.mp4,위반,플래시;화면전환;5초지속,C:\Users\PJ07\Desktop\gumchulgi\psepipe_v3_seam\_yt\CIHun1gx7zU.mp4
AjbrmfjJRk0.mp4,위반,플래시;적색;화면전환;5초지속,C:\Users\PJ07\Desktop\gumchulgi\psepipe_v3_seam\_yt\AjbrmfjJRk0.mp4
xDdAHEUQ2zA.mp4,위반,플래시;화면전환;5초지속,C:\Users\PJ07\Desktop\gumchulgi\psepipe_v3_seam\_yt\xDdAHEUQ2zA.mp4
9-ochJEQpb0.mp4,여백없음,,C:\Users\PJ07\Desktop\gumchulgi\psepipe_v3_seam\_yt\9-ochJEQpb0.mp4
xbawhCyMsRI.mp4,위반,플래시;화면전환;5초지속,C:\Users\PJ07\Desktop\gumchulgi\psepipe_v3_seam\_yt\xbawhCyMsRI.mp4
UoHK74aS9sY.mp4,위반,패턴;화면전환;5초지속,C:\Users\PJ07\Desktop\gumchulgi\psepipe_v3_seam\_yt\UoHK74aS9sY.mp4
Z0NIxY7svlM.mp4,여백없음,,C:\Users\PJ07\Desktop\gumchulgi\psepipe_v3_seam\_yt\Z0NIxY7svlM.mp4
_3-eqclZgQc.mp4,위반,플래시;화면전환;5초지속,C:\Users\PJ07\Desktop\gumchulgi\psepipe_v3_seam\_yt\_3-eqclZgQc.mp4
ila-hAUXR5U.mp4,안전,,C:\Users\PJ07\Desktop\gumchulgi\psepipe_v3_seam\_yt\ila-hAUXR5U.mp4
TXeDgXiytM0.mp4,위반,플래시;화면전환;5초지속,C:\Users\PJ07\Desktop\gumchulgi\psepipe_v3_seam\_yt\TXeDgXiytM0.mp4
523LwKMfF2I.mp4,위반,플래시;화면전환;5초지속,C:\Users\PJ07\Desktop\gumchulgi\psepipe_v3_seam\_yt\523LwKMfF2I.mp4
zlmWXyIFYnM.mp4,위반,플래시;화면전환;5초지속,C:\Users\PJ07\Desktop\gumchulgi\psepipe_v3_seam\_yt\zlmWXyIFYnM.mp4
ezm9i2nGYwQ.mp4,위반,플래시;화면전환;5초지속,C:\Users\PJ07\Desktop\gumchulgi\psepipe_v3_seam\_yt\ezm9i2nGYwQ.mp4
Y76O5wY7EcM.mp4,위반,플래시;화면전환;5초지속,C:\Users\PJ07\Desktop\gumchulgi\psepipe_v3_seam\_yt\Y76O5wY7EcM.mp4
MFC0eGtaF5M.mp4,위반,플래시;화면전환;5초지속,C:\Users\PJ07\Desktop\gumchulgi\psepipe_v3_seam\_yt\MFC0eGtaF5M.mp4
xDdAHEUQ2zA.mp4,위반,플래시;화면전환;5초지속,C:\Users\PJ07\Desktop\gumchulgi\psepipe_v3_seam\_yt\xDdAHEUQ2zA.mp4
zlmWXyIFYnM.mp4,위반,플래시;화면전환;5초지속,C:\Users\PJ07\Desktop\gumchulgi\psepipe_v3_seam\_yt\zlmWXyIFYnM.mp4
kMJVNerOtRI.mp4,안전,,C:\Users\PJ07\Desktop\gumchulgi\psepipe_v3_seam\_yt\kMJVNerOtRI.mp4
6gmCC4OkFx8.mp4,여백없음,,C:\Users\PJ07\Desktop\gumchulgi\psepipe_v3_seam\_yt\6gmCC4OkFx8.mp4
QtXx3Qubmys.mp4,위반,패턴;화면전환,C:\Users\PJ07\Desktop\gumchulgi\psepipe_v3_seam\_yt\QtXx3Qubmys.mp4
PFSDW2g3D8o.mp4,위반,플래시;화면전환;5초지속,C:\Users\PJ07\Desktop\gumchulgi\psepipe_v3_seam\_yt\PFSDW2g3D8o.mp4
M5HYGDDf6wU.mp4,위반,플래시;화면전환,C:\Users\PJ07\Desktop\gumchulgi\psepipe_v3_seam\_yt\M5HYGDDf6wU.mp4
yqkfZuyQPc4.mp4,위반,화면전환,C:\Users\PJ07\Desktop\gumchulgi\psepipe_v3_seam\_yt\yqkfZuyQPc4.mp4
Ben_8tA6Eyg.mp4,위반,플래시,C:\Users\PJ07\Desktop\gumchulgi\psepipe_v3_seam\_yt\Ben_8tA6Eyg.mp4
GSTB2MVHtMk.mp4,위반,화면전환,C:\Users\PJ07\Desktop\gumchulgi\psepipe_v3_seam\_yt\GSTB2MVHtMk.mp4
AjbrmfjJRk0.mp4,위반,플래시;적색;화면전환;5초지속,C:\Users\PJ07\Desktop\gumchulgi\psepipe_v3_seam\_yt\AjbrmfjJRk0.mp4
4UEAYxGC1gE.mp4,안전,,C:\Users\PJ07\Desktop\gumchulgi\psepipe_v3_seam\_yt\4UEAYxGC1gE.mp4
