[1/10] Db14C3vO1ZX      487f 전:적합                     기준 적합/h0.0  워프 적합/h0.0  순방향 적합/h0.0  둘다 적합/h0.0 (310s)
[2/10] Db155zGxJRf      719f 전:화면전환                   기준 화면전환/h47.262  워프 화면전환/h45.865  순방향 화면전환/h27.618  둘다 화면전환/h26.844 (526s)
[3/10] Db19-xaNgBT     1321f 전:적합                     기준 적합/h6.376  워프 적합/h6.377  순방향 적합/h1.305  둘다 적합/h1.303 (1154s)
[4/10] Db19aDiAxHJ      372f 전:플래시;패턴;화면전환            기준 패턴;화면전환/h52.727  워프 패턴;화면전환/h52.259  순방향 패턴;화면전환/h48.025  둘다 패턴;화면전환/h47.281 (128s)
[5/10] Db1wkdUotyf     2033f 전:플래시                    기준 플래시;화면전환/h13.97  워프 플래시/h13.708  순방향 플래시/h3.027  둘다 플래시/h2.883 (800s)
[6/10] Db2BKAWvAXs     1734f 전:화면전환                   기준 적합/h52.436  워프 적합/h52.434  순방향 적합/h1.122  둘다 적합/h1.13 (1072s)
[7/10] Db2D03pxZjy      444f 전:플래시                    기준 적합/h9.527  워프 적합/h9.21  순방향 적합/h5.625  둘다 적합/h5.448 (344s)
[8/10] Db2GfqYxNWW      440f 전:플래시                    기준 적합/h10.692  워프 적합/h10.388  순방향 적합/h2.885  둘다 적합/h2.836 (302s)
[9/10] Db2Jd3nsc36      367f 전:적합                     기준 적합/h33.763  워프 적합/h33.397  순방향 적합/h8.264  둘다 적합/h7.974 (219s)
[10/10] Db2LyhvyHI5      304f 전:적합                     기준 적합/h22.736  워프 적합/h22.745  순방향 적합/h26.925  둘다 적합/h26.926 (183s)

완료 -> results_fix_ab.csv
