clip,motion_px,A_halo,Dste_halo
DZs8Wg2O4oB,1.3723607754414024e-05,15.451,14.375
Dahbl_dij-W,0.673450380919539,8.128,13.454
DaIFG5auZj4,0.0508319863109492,1.921,11.549
DZ8AltJPvzj,0.02348722109362387,4.032,7.533
DbUJpGCh82U,0.2056647460987932,0.0,6.497
DaBOhORvC-_,1.2394145876981546,6.219,8.661
DasuIuwhso2,0.08778642993455764,24.313,5.715
DaApQXqOeMU,0.7319939518743263,0.0,9.194
Db0guCQDwsq,9.851103869230467,15.058,7.328
DaZ5usEOeHq,1.5927769118610933,24.336,5.62
DaNhJyHutmu,0.514849537140424,0.775,8.694
DY6fMXQlsQR,0.3021176236499418,22.639,8.213
DY4i0uFIYPC,1.5729899094682862,17.699,8.727
DZFnsTBtVvh,0.04633673318180552,1.539,14.926
DZ35BFVCCPh,0.49742067105366944,43.272,11.91
DbxrYniIG_M,0.2212740301372425,0.334,11.244
DaQ1GlNSrsw,0.7341152161473965,53.219,33.24
DajmmfSo6Le,0.4359265045428666,40.129,10.976
DY94y0vM2Xt,3.0877159879787337,36.366,10.306
DY37ELIRMxN,0.2992685741433847,0.0,8.201
DaYLyq7Noj-,1.980761953247415,23.04,12.535
DaMmOEguXwz,0.5926324036660563,11.161,7.431
DZ1l4izsVye,0.35927014849936967,17.526,8.85
DZ_i-puBora,5.9224201453580285,3.986,9.634
DbdvNGnI3kZ,0.32431661134395534,0.0,11.672
DbI_5PXiIVd,0.09820084288033122,5.483,7.861
DbVoN5jRW78,4.368399351609776,27.115,12.811
Db1f4KpOexh,0.17586250224347577,25.024,8.733
DY3z5obMTc5,0.30202137174747956,44.117,13.598
DYm9-URN6_G,0.7571346799193662,51.248,13.515
DbLZaUhx6mD,2.792491868069002,13.89,12.484
Dbb66EWP3Ec,0.39914553888706705,0.0,11.439
DbEU4ETtTaD,0.4698283148924368,0.0,8.483
DbhPStxi7eE,0.21291653701246588,37.142,8.775
DYzlWO-tpFl,9.49388413011037,8.698,11.301
DbrP6S3BgQT,13.171370449782412,22.493,13.982
DbRUdbsTu9w,0.13375692902277508,18.29,6.273
DZKlYPBpiyt,15.547120989503831,29.553,17.961
DbZ1oXZNpDD,0.09966065820648778,19.555,13.357
DZ9WldNSt-C,0.028684844558905586,22.345,12.522
DZJncmkuN_M,2.665369375321598,30.827,10.997
DbNLPRCAsLU,4.079191041367327,34.121,14.882
DaklkiWwdu3,0.33112926534134446,6.235,11.445
DadP_VWR47z,1.264428006743449,2.248,16.263
DaaYjnxx3t_,0.21402332420811238,0.0,11.752
DboCVoSAJNP,2.4812548101515697,19.915,8.739
DYpvLJ9sGpl,0.5907076699122038,9.475,8.96
DbgotdBKoYZ,0.8656232051773225,5.926,13.117
DagzZaLg2Lc,3.445507628666097,20.775,9.873
DZDDyB6RV7P,6.125386258548504,11.289,10.702
Dam2QIRyvLY,0.2929084045136616,16.349,6.582
DYhL_itTzrT,0.1549237519248946,28.056,8.266
Db1mNoVxtjm,0.031097818403229262,22.421,12.03
Dbx5uqMxPFN,0.9539706081819912,10.684,9.809
DaSGuQTzhLf,0.13120835435629122,13.122,8.356
DbxtEezu5Ms,2.799111993930545,34.651,19.051
DZJhWzpyCqR,0.3821171212565204,14.029,11.929
Dbs05gpxSuY,0.4415992163915772,18.906,5.657
DYiAwSXsa2h,0.7677466413254834,13.177,8.379
Db0J4VDv7IR,0.20763392494702232,18.432,10.602
DY9e22pIFeQ,1.0923842138253397,20.432,9.251
DZA9Wy4i_kV,4.798586397368689,39.127,13.886
DZ3fRSEvFoi,4.711373678150875,46.041,13.386
DbRaxpFSjwC,4.619760761927862,36.642,11.528
DbvE_Zohmv6,2.7149802004603236,41.825,16.329
Dbz9U7uhBzp,0.14017124363301403,50.25,19.145
DbmkyVTCfkb,0.09738439407148423,43.824,14.713
DasSp21RUv4,0.4506582582334087,43.664,23.23
Da-l1ksRwIR,4.090886922508206,23.608,21.292
DaRGBeoPBNP,1.5902373943819974,29.429,10.473
