clip,frames,before,기준_판정,기준_헤일로,기준_마스크,기준_net차단,워프_판정,워프_헤일로,워프_마스크,워프_net차단,순방향_판정,순방향_헤일로,순방향_마스크,순방향_net차단,둘다_판정,둘다_헤일로,둘다_마스크,둘다_net차단
Db14C3vO1ZX,487,적합,적합,0.0,0.7712,0,적합,0.0,0.7712,0,적합,0.0,0.4406,429,적합,0.0,0.4406,429
Db155zGxJRf,719,화면전환,화면전환,47.262,0.6218,0,화면전환,45.865,0.6218,0,화면전환,27.618,0.3118,643,화면전환,26.844,0.3118,643
Db19-xaNgBT,1321,적합,적합,6.376,0.0746,0,적합,6.377,0.0746,0,적합,1.305,0.0222,1293,적합,1.303,0.0222,1293
Db19aDiAxHJ,372,플래시;패턴;화면전환,패턴;화면전환,52.727,0.929,0,패턴;화면전환,52.259,0.929,0,패턴;화면전환,48.025,0.7485,275,패턴;화면전환,47.281,0.7485,275
Db1wkdUotyf,2033,플래시,플래시;화면전환,13.97,0.2987,0,플래시,13.708,0.2987,0,플래시,3.027,0.0712,1943,플래시,2.883,0.0712,1943
Db2BKAWvAXs,1734,화면전환,적합,52.436,0.7148,0,적합,52.434,0.7148,0,적합,1.122,0.0449,1706,적합,1.13,0.0449,1706
Db2D03pxZjy,444,플래시,적합,9.527,0.4067,0,적합,9.21,0.4067,0,적합,5.625,0.2652,356,적합,5.448,0.2652,356
Db2GfqYxNWW,440,플래시,적합,10.692,0.2838,0,적합,10.388,0.2838,0,적합,2.885,0.1336,399,적합,2.836,0.1336,399
Db2Jd3nsc36,367,적합,적합,33.763,0.6635,0,적합,33.397,0.6635,0,적합,8.264,0.165,354,적합,7.974,0.165,354
Db2LyhvyHI5,304,적합,적합,22.736,0.2662,0,적합,22.745,0.2662,0,적합,26.925,0.2269,234,적합,26.926,0.2269,234
