clip,before,config,after,halo,mask,net_blocked,toggles,frames
Db2LyhvyHI5,적합,기준,적합,22.736,0.2662,0,5,304
Db2LyhvyHI5,적합,순방향,적합,26.925,0.2269,234,13,304
Db2LyhvyHI5,적합,히스0.7,적합,26.763,0.2314,226,11,304
Db2LyhvyHI5,적합,히스0.5,적합,25.584,0.235,223,9,304
Db2LyhvyHI5,적합,유지,적합,17.268,0.2598,140,1,304
Db2BKAWvAXs,화면전환,기준,적합,52.436,0.7148,0,3,1734
Db2BKAWvAXs,화면전환,순방향,적합,1.122,0.0449,1706,16,1734
Db2BKAWvAXs,화면전환,히스0.7,적합,1.265,0.0465,1701,16,1734
Db2BKAWvAXs,화면전환,히스0.5,적합,1.291,0.0477,1696,16,1734
Db2BKAWvAXs,화면전환,유지,적합,2.908,0.0718,1628,14,1734
Db155zGxJRf,화면전환,기준,화면전환,47.262,0.6218,0,3,719
Db155zGxJRf,화면전환,순방향,화면전환,27.618,0.3118,643,35,719
Db155zGxJRf,화면전환,히스0.7,화면전환,28.023,0.3157,634,35,719
Db155zGxJRf,화면전환,히스0.5,화면전환,28.238,0.3196,626,33,719
Db155zGxJRf,화면전환,유지,화면전환,35.584,0.429,388,23,719
Db2D03pxZjy,플래시,기준,적합,9.527,0.4067,0,4,444
Db2D03pxZjy,플래시,순방향,적합,5.625,0.2652,356,2,444
Db2D03pxZjy,플래시,히스0.7,적합,5.611,0.2653,348,2,444
Db2D03pxZjy,플래시,히스0.5,적합,5.619,0.2654,347,2,444
Db2D03pxZjy,플래시,유지,적합,5.7,0.2814,316,2,444
