clip,w,h,frames,dur_s,before,A,Dste,AD,A_halo,Dste_halo,AD_halo,A_pump,Dste_pump,AD_pump,A_s,Dste_s,AD_s
DZs8Wg2O4oB,720,900,151,5.03,적합,적합,적합,적합,15.451,14.375,17.721,0.0,0.051,0.072,12.5,24.9,25.1
Dahbl_dij-W,720,974,145,6.04,적합,적합,적합,적합,8.128,13.454,19.889,0.0,0.151,0.188,12.5,27.6,40.1
DaIFG5auZj4,720,1280,363,12.1,적합,적합,적합,적합,1.921,11.549,13.947,0.0,0.314,0.337,22.4,87.5,89.0
DZ8AltJPvzj,720,1280,322,12.88,적합,적합,적합,적합,4.032,7.533,10.357,0.002,1.301,1.037,19.6,80.3,80.6
DbUJpGCh82U,720,1280,508,16.93,적합,적합,적합,적합,0.0,6.497,7.292,0.0,0.345,0.374,21.8,99.1,103.0
DaBOhORvC-_,720,1280,347,11.58,적합,적합,적합,적합,6.219,8.661,16.508,0.004,0.513,0.534,17.6,94.2,108.5
DasuIuwhso2,720,1280,510,17.0,적합,적합,적합,적합,24.313,5.715,26.427,0.036,0.041,0.06,30.1,166.2,150.5
DaApQXqOeMU,720,1280,371,12.37,패턴,패턴,패턴,패턴,0.0,9.194,10.213,0.0,0.511,0.538,25.4,200.3,115.5
Db0guCQDwsq,720,1280,241,8.03,패턴,적합,패턴,적합,15.058,7.328,19.359,0.028,0.139,0.296,21.0,92.4,85.1
DaZ5usEOeHq,720,1280,273,9.1,적합,적합,적합,적합,24.336,5.62,25.522,0.054,0.0,0.0,22.7,93.5,82.2
DaNhJyHutmu,720,1280,335,11.17,적합,적합,적합,적합,0.775,8.694,11.911,0.0,0.428,0.455,21.0,111.0,99.7
DY6fMXQlsQR,720,1280,288,9.6,패턴,패턴,패턴,패턴,22.639,8.213,26.078,0.019,0.219,0.283,19.5,97.0,86.6
DY4i0uFIYPC,720,1280,369,12.3,적합,적합,적합,적합,17.699,8.727,22.777,0.0,0.264,0.312,22.3,115.0,107.9
DZFnsTBtVvh,720,1280,902,30.07,적합,적합,적합,적합,1.539,14.926,20.531,0.0,0.137,0.136,38.8,265.2,259.6
DZ35BFVCCPh,720,1280,290,9.67,적합,적합,적합,적합,43.272,11.91,42.803,0.005,0.075,0.03,22.4,96.7,83.8
DbxrYniIG_M,720,1280,241,10.04,적합,적합,적합,적합,0.334,11.244,13.79,0.0,0.12,0.125,18.0,77.7,71.3
DaQ1GlNSrsw,720,1280,227,7.57,적합,적합,적합,적합,53.219,33.24,58.823,0.077,0.848,0.941,15.3,50.7,50.4
DajmmfSo6Le,720,1280,227,7.57,적합,적합,적합,적합,40.129,10.976,40.276,0.0,0.294,0.216,17.6,61.0,61.2
DY94y0vM2Xt,720,1280,312,10.4,적합,적합,적합,적합,36.366,10.306,37.532,0.104,0.677,0.511,16.9,66.4,66.4
DY37ELIRMxN,720,1280,662,22.07,적합,적합,적합,적합,0.0,8.201,9.023,0.001,0.022,0.025,26.2,125.4,124.8
DaYLyq7Noj-,720,1280,229,7.63,적합,적합,적합,적합,23.04,12.535,28.209,0.0,0.258,0.282,14.8,50.5,50.7
DaMmOEguXwz,720,1280,480,16.36,적합,적합,적합,적합,11.161,7.431,17.702,0.012,0.278,0.296,20.9,114.1,132.2
DZ1l4izsVye,720,1280,336,11.2,적합,적합,적합,적합,17.526,8.85,21.674,0.006,0.227,0.237,20.4,102.7,95.2
DZ_i-puBora,720,1280,207,6.9,적합,적합,적합,적합,3.986,9.634,14.482,0.0,0.091,0.17,15.9,67.8,65.6
DbdvNGnI3kZ,720,1280,355,11.83,적합,적합,적합,적합,0.0,11.672,12.761,0.0,0.256,0.293,21.8,117.4,101.9
DbI_5PXiIVd,720,1280,1055,35.17,적합,적합,적합,적합,5.483,7.861,13.909,0.0,0.222,0.222,44.1,292.8,272.0
DbVoN5jRW78,720,1280,242,10.08,적합,적합,적합,적합,27.115,12.811,30.255,0.041,0.165,0.229,17.0,82.4,72.9
Db1f4KpOexh,720,1280,406,13.53,적합,적합,적합,적합,25.024,8.733,29.105,0.001,0.699,0.676,23.0,132.0,118.6
DY3z5obMTc5,720,1280,357,11.9,적합,적합,적합,적합,44.117,13.598,46.542,0.021,0.325,0.309,20.7,112.3,101.5
DYm9-URN6_G,720,1280,300,10.0,적합,적합,적합,적합,51.248,13.515,51.195,0.035,0.197,0.32,18.9,95.0,88.1
DbLZaUhx6mD,720,1280,337,11.23,적합,적합,적합,적합,13.89,12.484,23.335,0.0,0.384,0.422,20.1,106.8,96.0
Dbb66EWP3Ec,720,1280,417,13.9,패턴,패턴,패턴,패턴,0.0,11.439,12.623,0.0,0.333,0.355,23.2,129.7,124.4
DbEU4ETtTaD,720,1280,481,16.03,적합,적합,적합,적합,0.0,8.483,11.315,0.0,0.075,0.063,26.7,116.2,103.9
DbhPStxi7eE,720,1280,502,16.73,적합,패턴,적합,패턴,37.142,8.775,36.874,0.022,0.036,0.063,21.6,98.4,99.8
DYzlWO-tpFl,720,1280,320,10.67,적합,적합,적합,적합,8.698,11.301,19.351,0.023,0.184,0.247,20.0,104.7,94.0
DbrP6S3BgQT,720,1280,289,9.63,적합,적합,적합,적합,22.493,13.982,28.406,0.019,0.052,0.156,18.5,99.7,86.0
DbRUdbsTu9w,720,1280,730,24.33,적합,적합,적합,패턴,18.29,6.273,20.059,0.013,0.089,0.093,29.2,143.0,143.1
DZKlYPBpiyt,720,1280,305,10.17,적합,적합,적합,적합,29.553,17.961,33.805,0.38,0.4,0.718,17.3,80.0,93.4
DbZ1oXZNpDD,720,1280,459,15.3,적합,적합,적합,적합,19.555,13.357,26.68,0.001,0.259,0.268,26.4,149.7,130.2
DZ9WldNSt-C,720,1280,419,13.97,적합,적합,적합,적합,22.345,12.522,29.363,0.015,0.412,0.312,24.5,128.0,128.3
DZJncmkuN_M,720,1280,369,12.3,적합,적합,적합,적합,30.827,10.997,33.248,0.0,0.084,0.17,23.8,83.8,81.6
DbNLPRCAsLU,720,1280,300,10.0,적합,적합,적합,적합,34.121,14.882,35.574,0.0,1.269,0.16,17.5,68.9,69.0
